Name,ID,L,a,b,LRV,R,G,B,,,
Sunday Gloves,236,86.1524,3.9898,16.3284,0.682924,0.911106,0.83255,0.724543,232.332030,212.30025,184.758465
Flan,237,82.2574,6.04202,18.8648,0.607745,0.886476,0.784476,0.66471,226.051380,200.041380,169.50105
Crowned One,238,75.7928,8.59772,19.6352,0.495509,0.832908,0.708285,0.592057,212.391540,180.612675,150.974535
Tailored Tan,239,67.1377,8.53871,21.0171,0.368146,0.739331,0.6171,0.493865,188.529405,157.3605,125.935575
Spiced Rum,240,60.537,9.8318,23.1368,0.287238,0.678737,0.54569,0.413851,173.077935,139.15095,105.532005
Prince Paris,241,53.6784,11.3468,24.1501,0.216731,0.615423,0.472814,0.341251,156.932865,120.567570,87.019005
Rare Happening,242,47.8982,11.0541,25.0664,0.167144,0.553509,0.416729,0.28084,141.144795,106.265895,71.61420
Frozen Custard,243,84.9113,5.74696,21.5346,0.658333,0.918993,0.813774,0.672866,234.343215,207.512370,171.580830
Mulled Cider,244,80.8706,7.65691,24.7848,0.582373,0.891762,0.764527,0.60666,227.399310,194.954385,154.69830
Caramel Cloud,245,73.9746,9.79692,26.9308,0.466645,0.831506,0.684922,0.5204,212.034030,174.655110,132.7020
Cinnamon Toast,246,69.4944,10.9402,30.6282,0.400349,0.79352,0.634365,0.448526,202.34760,161.763075,114.374130
Apple Crisp ,247,62.5103,13.4538,32.1051,0.310032,0.732819,0.555427,0.369915,186.868845,141.633885,94.328325
Safari Sun,248,60.1669,13.9525,29.035,0.28309,0.706559,0.53058,0.369584,180.172545,135.29790,94.243920
Butterscotch Mousse,249,56.1117,13.9993,29.158,0.240239,0.662567,0.489614,0.32995,168.954585,124.851570,84.13725
Pumpkin Spice,250,92.3555,2.09646,13.353,0.81504,0.961297,0.906407,0.813676,245.130735,231.133785,207.487380
Alchemy,251,87.4122,5.29791,18.5543,0.708503,0.938791,0.842777,0.721709,239.391705,214.908135,184.035795
October Bounty,252,81.7601,6.44821,21.8333,0.598565,0.888806,0.777637,0.637576,226.645530,198.297435,162.581880
Honey Glow,253,79.5588,7.91744,23.8849,0.559033,0.877312,0.749821,0.599748,223.714560,191.204355,152.935740
Living Large,254,75.3932,8.97794,27.5517,0.489067,0.842986,0.702024,0.530051,214.961430,179.016120,135.163005
Back to Basics,255,66.7805,11.8289,31.9989,0.363421,0.770368,0.603652,0.411874,196.443840,153.931260,105.027870
Crazy Horse,256,53.9462,15.133,32.8735,0.219239,0.648997,0.46466,0.283327,165.494235,118.48830,72.248385
Shortbread,257,87.555,3.1499,16.0842,0.711442,0.920387,0.850118,0.741252,234.698685,216.780090,189.019260
Classic Terra,258,83.8979,4.45869,18.9725,0.638697,0.89406,0.806308,0.680914,227.98530,205.608540,173.633070
Persian Fable,259,77.1601,5.26741,18.7001,0.517983,0.824103,0.731432,0.612292,210.146265,186.515160,156.134460
Cocoa Nib,260,67.602,7.4003,21.8057,0.374349,0.738272,0.624684,0.492602,188.259360,159.294420,125.613510
Tan Hide,261,62.6004,6.95133,24.0529,0.3111,0.684384,0.573829,0.426796,174.517920,146.326395,108.832980
Log Cabin,262,55.8209,8.08722,24.7896,0.237344,0.619682,0.502251,0.356252,158.018910,128.074005,90.844260
Country Charm,263,48.4333,9.79373,25.3689,0.171379,0.552284,0.425048,0.283317,140.832420,108.387240,72.245835
Palest of Lemon,264,86.313,2.52614,15.292,0.686149,0.900388,0.83811,0.733675,229.598940,213.71805,187.087125
Marshmallow Mist,265,82.6097,4.09528,18.9466,0.614306,0.877047,0.793179,0.667379,223.646985,202.260645,170.181645
October Harvest,266,77.0324,4.41789,20.6121,0.515856,0.820182,0.731906,0.596769,209.146410,186.636030,152.176095
Season Finale,267,68.4791,6.4613,24.1778,0.386255,0.745287,0.635871,0.484099,190.048185,162.147105,123.445245
Rich Oak,268,58.0338,9.60276,28.1624,0.259965,0.656497,0.520357,0.354002,167.406735,132.691035,90.270510
Sahara Wind,269,47.4106,10.0227,29.2751,0.163347,0.546733,0.414179,0.246726,139.416915,105.615645,62.915130
Graham Crust,270,44.1279,9.07654,24.4144,0.139269,0.502406,0.385373,0.250245,128.113530,98.270115,63.812475
Clover Honey,271,89.7025,1.9089,8.77338,0.756628,0.920042,0.878087,0.819019,234.610710,223.912185,208.849845
Mineral Water,272,84.4767,2.05801,11.5618,0.649864,0.868896,0.819681,0.741553,221.568480,209.018655,189.096015
Sandstone Palette,273,82.6722,2.24703,12.4656,0.615475,0.852135,0.799367,0.715561,217.294425,203.838585,182.468055
Polished Marble,274,77.3832,3.78594,18.5091,0.521714,0.816084,0.73751,0.615674,208.101420,188.06505,156.996870
Highlight,275,69.1321,4.45012,20.7619,0.395281,0.734078,0.648052,0.514785,187.189890,165.253260,131.270175
Gold Taffeta,276,59.4878,6.02839,22.2026,0.275586,0.642704,0.54453,0.409219,163.889520,138.85515,104.350845
Golden Freesia,277,48.4652,6.56345,22.6054,0.171634,0.530785,0.433466,0.301685,135.350175,110.533830,76.929675
Barberry Sand,278,85.412,1.99042,13.701,0.668181,0.883241,0.829772,0.735724,225.226455,211.591860,187.609620
Garden Country,279,80.4285,2.65862,16.4213,0.574437,0.838039,0.773401,0.662676,213.699945,197.217255,168.982380
Wicker Basket,280,74.7938,3.05141,17.1264,0.479507,0.780131,0.711786,0.598685,198.933405,181.505430,152.664675
Olive Gold,281,71.2525,3.38639,19.5881,0.425559,0.748096,0.673075,0.544524,190.764480,171.634125,138.853620
Vintage Gold,282,66.7332,5.18182,23.5442,0.362798,0.717091,0.620887,0.470877,182.858205,158.326185,120.073635
Historic Town,283,58.736,4.98731,23.5157,0.267433,0.630008,0.539247,0.392407,160.652040,137.507985,100.063785
Queen Lioness,284,42.6541,5.23018,23.7574,0.129277,0.464861,0.380453,0.240255,118.539555,97.015515,61.265025
Eugenia,285,92.2946,1.03048,10.9443,0.813667,0.947454,0.908756,0.830963,241.600770,231.732780,211.895565
Yellow Page,286,88.4114,2.39188,12.7247,0.729238,0.917692,0.861966,0.775475,234.011460,219.801330,197.746125
Muslin Tint,287,83.3733,3.74046,16.3649,0.628688,0.878286,0.80275,0.694532,223.962930,204.70125,177.105660
Golden Buff,288,81.8069,3.95456,21.5433,0.599424,0.871693,0.784442,0.639621,222.281715,200.032710,163.103355
Prairie Sand,289,73.4713,4.77915,23.1853,0.458857,0.787524,0.692702,0.541389,200.818620,176.639010,138.054195
Key Keeper,290,59.0756,6.188,25.2393,0.271095,0.643367,0.539617,0.38383,164.058585,137.602335,97.87665
Rutherford,291,50.2866,6.9227,23.68,0.186597,0.553094,0.450318,0.311369,141.038970,114.831090,79.399095
Privileged,292,92.979,0.719996,10.3672,0.829191,0.951551,0.917262,0.842785,242.645505,233.901810,214.910175
What Inheritance?,293,86.9143,2.70727,15.6393,0.698318,0.909123,0.844226,0.737587,231.826365,215.277630,188.084685
Rub Elbows,294,84.4136,2.97316,18.231,0.648639,0.888002,0.815745,0.69157,226.440510,208.014975,176.35035
Spanish Cream,295,79.4854,3.22211,20.0395,0.557747,0.838142,0.761317,0.626246,213.726210,194.135835,159.692730
Only Yesterday,296,73.4203,4.97095,23.191,0.458072,0.788248,0.691688,0.540874,201.003240,176.380440,137.922870
Gold Season,297,64.6894,4.80954,24.4631,0.33657,0.693913,0.600494,0.443889,176.947815,153.125970,113.191695
Brocade,298,49.17,6.67941,27.7802,0.177325,0.544595,0.439555,0.272371,138.871725,112.086525,69.454605
Allison Lace,299,92.9144,0.619812,11.1738,0.827718,0.95187,0.916659,0.835961,242.72685,233.748045,213.170055
Ivory Parchment,300,90.6703,1.29891,13.7439,0.777602,0.937195,0.889557,0.792157,238.984725,226.837035,202.000035
Corinthian Pillar,301,84.5152,2.18875,18.2538,0.65061,0.883607,0.818787,0.692305,225.319785,208.790685,176.537775
Rich Reward,302,68.3537,4.2103,21.8233,0.384537,0.725725,0.640349,0.499243,185.059875,163.288995,127.306965
Bauhaus Gold,303,64.3993,4.73212,25.3083,0.332953,0.691474,0.597586,0.434937,176.325870,152.384430,110.908935
Gold Tangiers,304,57.4925,4.86328,25.4483,0.254305,0.618595,0.526756,0.366734,157.741725,134.322780,93.517170
Golden Summer,305,46.2566,6.02967,24.4228,0.154591,0.506978,0.4131,0.268702,129.279390,105.3405,68.519010
Saffron Tint,306,92.9336,0.545903,11.3891,0.828155,0.952008,0.917021,0.83453,242.762040,233.840355,212.80515
Putting Bench,307,91.1474,1.13356,14.8674,0.788082,0.943704,0.895102,0.788854,240.644520,228.251010,201.157770
Coconut Crumble,308,83.7681,2.616,22.7395,0.636211,0.886411,0.808948,0.651028,226.034805,206.281740,166.012140
Palmetto Bluff,309,76.3576,3.27927,22.2974,0.504712,0.807798,0.727248,0.577151,205.988490,185.448240,147.173505
Sassafras,310,68.6361,3.58004,25.0403,0.388412,0.729528,0.644431,0.478686,186.029640,164.329905,122.064930
Life Exotic,311,63.2018,4.57798,28.2143,0.318296,0.681472,0.585296,0.402192,173.775360,149.250480,102.558960
September Gold,312,50.8029,5.14813,28.4258,0.190991,0.553377,0.459117,0.282485,141.111135,117.074835,72.033675
Chic Magnet,313,89.9416,1.09696,13.7826,0.761772,0.927583,0.881953,0.783891,236.533665,224.898015,199.892205
Trade Secret,314,87.0661,1.65734,15.3928,0.701412,0.902736,0.848527,0.740833,230.197680,216.374385,188.912415
Peaceable Kingdom,315,82.8868,2.22665,18.0783,0.619499,0.865385,0.800932,0.676327,220.673175,204.237660,172.463385
Golden Lake,316,80.8686,1.9981,20.9994,0.582337,0.846666,0.779144,0.633348,215.899830,198.681720,161.503740
Green Gold,317,73.0106,3.01988,23.3713,0.451806,0.77099,0.692076,0.534896,196.60245,176.479380,136.398480
There's No Place Like Home,318,63.0105,4.72556,26.7491,0.315995,0.678417,0.583135,0.410931,172.996335,148.699425,104.787405
Herald's Trumpet,319,50.4949,4.39229,25.7047,0.188361,0.542598,0.458106,0.298545,138.362490,116.817030,76.128975
Floating Island,320,90.9876,0.080643,11.3337,0.784561,0.926484,0.896458,0.813504,236.253420,228.596790,207.443520
Hephaestus,321,85.5184,0.986905,17.0146,0.670287,0.883802,0.832905,0.711975,225.369510,212.390775,181.553625
Gabriel's Light,322,82.5247,0.943839,19.9341,0.612719,0.855709,0.799851,0.658428,218.205795,203.962005,167.899140
Star of Gold,323,69.7827,1.82535,24.767,0.404413,0.729978,0.660674,0.491734,186.144390,168.471870,125.392170
Upon Reflection,324,63.7244,2.87516,27.2177,0.324638,0.674943,0.594831,0.414043,172.110465,151.681905,105.580965
Welcome Home,325,53.1,3.29283,26.3721,0.211378,0.563875,0.486335,0.317974,143.788125,124.015425,81.083370
Bambino,326,46.7889,2.99264,24.9755,0.15859,0.495232,0.425157,0.268902,126.284160,108.415035,68.570010
Tawny Daylilly,327,91.0632,1.11238,10.6669,0.786226,0.933588,0.89487,0.819558,238.064940,228.19185,208.987290
Land of Trees,328,85.5648,0.630722,15.1418,0.671207,0.877999,0.834556,0.726354,223.889745,212.811780,185.220270
Knit Cardigan,329,81.2462,1.20718,18.0881,0.589174,0.839963,0.785561,0.658684,214.190565,200.318055,167.964420
Castaway Beach,330,78.7452,1.19375,19.3315,0.544877,0.814556,0.75835,0.623257,207.711780,193.37925,158.930535
Refined,331,73.3428,0.756869,21.6008,0.456883,0.756351,0.701229,0.55066,192.869505,178.813395,140.41830
All Nighter,332,59.4794,1.56139,22.7687,0.275493,0.615095,0.554881,0.40402,156.849225,141.494655,103.02510
Grasslands,333,46.0796,2.0062,21.728,0.153276,0.478208,0.420793,0.2844,121.943040,107.302215,72.5220
Sedona,334,89.3001,0.542118,9.17355,0.748019,0.906215,0.876921,0.811347,231.084825,223.614855,206.893485
Illusive Dream,335,85.9235,1.59883,11.1447,0.678342,0.880738,0.836742,0.760152,224.588190,213.369210,193.838760
Soft Leather,336,75.9295,1.83408,11.3599,0.497726,0.772971,0.727683,0.6521,197.107605,185.559165,166.2855
Urban Charm,337,67.2099,2.07428,12.956,0.369106,0.683991,0.634659,0.550446,174.417705,161.838045,140.363730
Whipcord,338,60.8625,2.52309,16.4202,0.290918,0.626011,0.567543,0.462393,159.632805,144.723465,117.910215
Ceramic Pot,339,55.0687,2.61267,16.3053,0.229965,0.566056,0.50867,0.406472,144.344280,129.71085,103.650360
Nightfall,340,36.0118,3.83052,14.9866,0.090143,0.380738,0.322092,0.238328,97.088190,82.133460,60.773640
Loch Ness,341,89.7124,-0.066298,9.9731,0.75684,0.908056,0.882854,0.809744,231.554280,225.127770,206.484720
Velum Smoke,342,83.0585,0.357442,11.5117,0.622731,0.840683,0.80831,0.726347,214.374165,206.11905,185.218485
Cantera,343,79.7252,0.44594,12.0724,0.56196,0.805883,0.771769,0.686699,205.500165,196.801095,175.108245
Courtyard,344,77.0937,0.894274,14.4871,0.516876,0.785209,0.74196,0.641392,200.228295,189.19980,163.554960
Travertine Path,345,70.2905,0.425692,16.0571,0.411637,0.711314,0.670415,0.559448,181.385070,170.955825,142.659240
Northeast Trail,346,56.6405,1.6289,19.307,0.245563,0.580691,0.526356,0.400737,148.076205,134.220780,102.187935
Jungle Cover,347,41.9694,1.65881,15.9693,0.124802,0.427452,0.382663,0.285137,109.000260,97.579065,72.709935
Dried Grass,348,85.3959,0.062864,11.7018,0.667863,0.864769,0.834594,0.750005,220.516095,212.821470,191.251275
Reseda,349,80.4423,0.593282,12.7316,0.574683,0.81617,0.779088,0.689504,208.12335,198.667440,175.823520
Helen of Troy,350,75.2886,0.877068,14.2687,0.487388,0.765016,0.722681,0.6241,195.079080,184.283655,159.1455
Mohalla,351,64.2888,1.09047,16.8062,0.331582,0.653266,0.606064,0.493483,166.582830,154.546320,125.838165
Shagbark Olive,352,56.588,0.217208,16.5058,0.24503,0.566542,0.529341,0.419315,144.468210,134.981955,106.925325
Becker Gold,353,45.2687,2.05951,20.072,0.147347,0.468237,0.413002,0.288168,119.400435,105.315510,73.482840
Austere,354,44.4611,0.162132,19.7644,0.141597,0.448235,0.409355,0.28235,114.299925,104.385525,71.99925
Twinkle Twinkle,355,95.3262,-0.770097,4.97336,0.88393,0.953841,0.948156,0.909328,243.229455,241.779780,231.878640
Moth Mist,356,92.9777,-0.850523,6.76603,0.829161,0.93119,0.921691,0.869639,237.45345,235.031205,221.757945
Moss Island,357,87.5274,-1.5368,8.10399,0.710872,0.868333,0.862495,0.799568,221.424915,219.936225,203.889840
Silky Green,358,77.8289,-0.628864,12.6643,0.52922,0.778643,0.753747,0.662099,198.553965,192.205485,168.835245
Green Sleeves,359,62.4466,0.063773,19.1168,0.309277,0.630857,0.589107,0.45858,160.868535,150.222285,116.93790
Land Before Time,360,53.4073,0.553511,20.2287,0.214211,0.541794,0.496229,0.363018,138.157470,126.538395,92.569590
Georgia on My Mind,361,45.0513,0.393628,18.6269,0.145784,0.453975,0.414675,0.29548,115.763625,105.742125,75.34740
Pale Quartz ,362,92.6333,-0.203541,8.28808,0.821324,0.935891,0.916005,0.854477,238.652205,233.581275,217.891635
Mission Hills,363,87.3272,-0.061749,12.2803,0.706757,0.886554,0.856075,0.766537,226.071270,218.299125,195.466935
Stone Hearth,364,80.1446,0.043599,15.8629,0.569377,0.815238,0.776718,0.66322,207.885690,198.063090,169.12110
Abbey Stone,365,62.9,0.255153,18.2039,0.314671,0.63539,0.593456,0.469569,162.02445,151.331280,119.740095
Owlet,366,55.5579,0.610673,21.7782,0.234746,0.566601,0.517469,0.372848,144.483255,131.954595,95.076240
Chocolate Velvet,367,49.3519,0.242459,20.1387,0.178814,0.498342,0.456757,0.325201,127.077210,116.473035,82.926255
Folk Tales,368,45.1547,0.985431,21.1013,0.146526,0.461932,0.414141,0.27989,117.792660,105.605955,71.37195
Saturnia,369,87.3419,-0.950099,6.86656,0.707058,0.867831,0.859239,0.806877,221.296905,219.105945,205.753635
Palatine,370,79.9547,-1.54391,8.74892,0.566011,0.786616,0.779475,0.713081,200.587080,198.766125,181.835655
Fiorito,371,76.9892,-1.95075,7.83593,0.515139,0.749422,0.748519,0.688104,191.102610,190.872345,175.466520
Historic Shade,372,68.6531,-0.868079,12.2374,0.388647,0.677519,0.656698,0.569704,172.767345,167.457990,145.274520
Burning Idea,373,57.5789,-1.39935,13.8867,0.255203,0.56145,0.543278,0.446758,143.16975,138.535890,113.923290
Candle Wax,374,44.6981,-1.04461,13.7719,0.143269,0.434215,0.414854,0.324219,110.724825,105.787770,82.675845
African Queen,375,39.8774,-0.967084,17.0646,0.111772,0.392627,0.368216,0.25834,100.119885,93.895080,65.87670
Bleached Meadow,376,91.1058,-0.1157,8.36572,0.787163,0.919602,0.89873,0.837077,234.498510,229.17615,213.454635
Montezuma,377,82.2772,-0.682847,11.9414,0.608113,0.825364,0.80221,0.714603,210.467820,204.56355,182.223765
Garden Hedge,378,77.9291,-0.937974,13.16,0.530916,0.778516,0.755481,0.659472,198.521580,192.647655,168.165360
Orestes,379,63.7468,-1.58084,12.6328,0.324912,0.621692,0.607079,0.516872,158.531460,154.805145,131.802360
Mirrored Willow,380,56.1715,-0.96994,14.7657,0.240837,0.551466,0.52798,0.427,140.623830,134.63490,108.885
Sonata,381,50.8139,-1.31051,15.4609,0.191085,0.49604,0.475066,0.37049,126.49020,121.141830,94.47495
Mount Olive,382,43.6444,0.700897,19.7105,0.135936,0.443322,0.40035,0.275366,113.047110,102.08925,70.218330
Natural Whisper,383,92.2299,-0.63256,13.2388,0.812209,0.939277,0.911759,0.81259,239.515635,232.498545,207.21045
Cheese Please,384,90.9988,-0.522181,13.7913,0.784807,0.927452,0.897674,0.794995,236.500260,228.906870,202.723725
Howdy Neighbor,385,84.46,-0.612076,21.288,0.649539,0.868637,0.824565,0.66843,221.502435,210.264075,170.44965
Hippolita,386,78.7152,-0.603992,24.9104,0.544358,0.811401,0.761588,0.581268,206.907255,194.204940,148.223340
Goldie Oldie,387,70.7567,-0.942057,30.5532,0.418345,0.730632,0.676753,0.45826,186.311160,172.572015,116.85630
Shiny Gold,388,65.7554,-0.340054,32.435,0.350087,0.682953,0.622784,0.394857,174.153015,158.809920,100.688535
Gold Sparkle,389,45.7612,0.274539,27.8509,0.150929,0.471784,0.420914,0.238546,120.304920,107.333070,60.829230
Olive Tint,390,92.9454,-0.991598,10.3298,0.828423,0.938111,0.921092,0.84235,239.218305,234.878460,214.79925
Crispa,391,88.8729,-0.59765,15.6681,0.738951,0.907003,0.873957,0.757776,231.285765,222.859035,193.232880
Alsot Olive,392,85.532,-0.824166,19.1859,0.670555,0.875067,0.837128,0.695496,223.142085,213.467640,177.351480
Inviting Gesture,393,78.7187,-0.757225,20.374,0.544419,0.80241,0.762572,0.614852,204.61455,194.455860,156.787260
High Chief,394,72.9995,-1.27017,23.6444,0.451637,0.7421,0.702066,0.531733,189.2355,179.026830,135.591915
Crack Willow,395,67.4447,-1.23785,28.8041,0.37224,0.690284,0.642823,0.438076,176.022420,163.919865,111.709380
Wing Man,396,47.0384,-1.27392,31.3453,0.160487,0.479168,0.436338,0.224553,122.187840,111.266190,57.261015
Hidden Paradise ,397,92.7009,-2.52373,10.7407,0.82286,0.924584,0.922002,0.836246,235.768920,235.110510,213.242730
Island Embrace,398,86.4549,-2.55197,18.8441,0.689008,0.872034,0.851461,0.707519,222.368670,217.122555,180.417345
Sawgrass Cottage,399,82.1847,-3.00397,22.4796,0.606398,0.828372,0.805199,0.634975,211.234860,205.325745,161.918625
New Foliage,400,75.9397,-2.81561,23.3222,0.497893,0.762729,0.73708,0.563838,194.495895,187.95540,143.778690
Bamboo Forest,401,69.0243,-2.24275,25.8279,0.393781,0.696033,0.662002,0.475352,177.488415,168.810510,121.214760
Sabo Garden,402,58.6687,-1.92931,29.3299,0.266711,0.593116,0.55378,0.348315,151.244580,141.21390,88.820325
Tropical Twist,403,50.7605,-1.47451,29.1962,0.190627,0.513668,0.473473,0.274544,130.985340,120.735615,70.008720
Translucent Vision,404,90.7532,-3.47161,10.4635,0.779415,0.894871,0.902552,0.816768,228.192105,230.150760,208.275840
Planet Earth,405,87.428,-4.35232,12.5294,0.708826,0.855936,0.867373,0.764888,218.263680,221.180115,195.046440
Home Body,406,83.4374,-5.01224,14.4845,0.629905,0.811328,0.824659,0.707289,206.888640,210.288045,180.358695
Vapor,407,78.1256,-5.48594,16.7187,0.534256,0.754666,0.767579,0.634517,192.439830,195.732645,161.801835
Rediscover,408,73.5541,-5.88096,19.5523,0.460132,0.708166,0.718941,0.566247,180.582330,183.329955,144.392985
Green Cast,409,59.9109,-6.11401,23.9826,0.280245,0.570576,0.576022,0.397684,145.496880,146.885610,101.409420
Old School,410,43.5765,-4.9038,19.8984,0.135472,0.408015,0.411234,0.272117,104.043825,104.864670,69.389835
Cyprus Spring,411,95.2618,-0.904774,3.66934,0.882397,0.948792,0.947986,0.918463,241.941960,241.736430,234.208065
Sublime,412,93.3284,-1.6312,5.92092,0.837192,0.927023,0.927658,0.879754,236.390865,236.552790,224.337270
Speak to Me ,413,88.4158,-1.63998,7.0165,0.729331,0.874827,0.872751,0.817369,223.080885,222.551505,208.429095
Plume Grass,414,79.6598,-3.398,11.2658,0.560809,0.77521,0.780209,0.691141,197.67855,198.953295,176.240955
French Pear,415,64.5978,-4.44991,17.7574,0.335425,0.620211,0.62158,0.488622,158.153805,158.50290,124.598610
Taffeta Sheen,416,53.6278,-4.88227,18.915,0.216259,0.506469,0.510256,0.37294,129.149595,130.115280,95.09970
Aloe Leaf,417,41.2445,-5.68709,20.4661,0.120179,0.381179,0.390307,0.246913,97.200645,99.528285,62.962815
Onion Skin,418,92.1098,-0.561871,6.37601,0.809508,0.922741,0.911347,0.863028,235.298955,232.393485,220.072140
Poseidon's Beard,419,85.5414,-0.702022,7.84381,0.670741,0.852079,0.838639,0.780059,217.280145,213.852945,198.915045
Dave's Den,420,77.331,-0.733814,9.02628,0.520839,0.764737,0.749175,0.683312,195.007935,191.039625,174.244560
Silverado Ranch,421,68.5018,-2.01072,6.76269,0.386566,0.656192,0.658507,0.606806,167.328960,167.919285,154.735530
Everlasting Sage,422,61.352,-2.53494,7.28154,0.296511,0.57922,0.585227,0.529873,147.70110,149.232885,135.117615
Eye of the Storm,423,44.4914,-1.8288,8.59323,0.14181,0.418099,0.415125,0.356197,106.615245,105.856875,90.830235
Monogram,424,36.748,-1.14236,9.39605,0.0940251,0.349838,0.340004,0.279512,89.208690,86.701020,71.275560
Pale Green Tea,425,89.6353,-1.98555,7.76665,0.755184,0.887508,0.88699,0.825055,226.314540,226.18245,210.389025
September Song,426,85.8047,-3.44592,7.75959,0.675972,0.833917,0.84806,0.783014,212.648835,216.25530,199.668570
Arbor Vitae,427,77.6486,-5.9082,10.085,0.526174,0.731932,0.764317,0.677963,186.642660,194.900835,172.880565
Lucky Day,428,62.2299,-6.69414,14.124,0.306721,0.572741,0.602292,0.490138,146.048955,153.584460,124.985190
Pendula Garden,429,53.1416,-6.18199,13.8682,0.21176,0.48376,0.508642,0.402659,123.35880,129.703710,102.678045
Vegetarian,430,38.5253,-4.84442,12.1177,0.103853,0.347652,0.363675,0.277499,88.651260,92.737125,70.762245
Clover Patch,431,30.6693,-3.8394,8.44772,0.0651208,0.275133,0.289324,0.230704,70.158915,73.777620,58.829520
Sweet Spring,432,93.4085,-2.02968,7.20486,0.839032,0.92796,0.929307,0.870869,236.62980,236.973285,222.071595
Grassy Glade,433,87.3605,-4.14348,8.55907,0.707441,0.84758,0.866751,0.793851,216.13290,221.021505,202.432005
Lush Meadow,434,80.2122,-7.04295,11.3093,0.57058,0.753681,0.794497,0.695973,192.188655,202.596735,177.473115
Big Fish,435,65.6146,-6.52365,9.76463,0.348281,0.599656,0.63772,0.555047,152.912280,162.61860,141.536985
Fern Gully,436,56.854,-6.79658,12.4394,0.247734,0.513858,0.547577,0.448535,131.033790,139.632135,114.376425
Bowling Green,437,50.0881,-7.2465,12.6034,0.184925,0.443638,0.480453,0.381677,113.127690,122.515515,97.327635
Delicious,438,38.812,-5.62782,13.1579,0.1055,0.347023,0.367773,0.273213,88.490865,93.782115,69.669315
Numero Uno,439,90.7984,-2.59181,3.46337,0.780405,0.885112,0.902104,0.870018,225.703560,230.036520,221.854590
Pale Loden,440,83.6313,-3.1395,3.37799,0.633598,0.801709,0.824167,0.791869,204.435795,210.162585,201.926595
Slate Stone,441,72.5457,-4.19696,3.16596,0.444763,0.674006,0.706783,0.67435,171.871530,180.229665,171.95925
Dowager,442,57.2338,-4.89489,4.32014,0.251629,0.513642,0.548602,0.508389,130.978710,139.893510,129.639195
Serpentine,443,39.6366,-1.76388,7.74009,0.110333,0.370294,0.368631,0.316401,94.424970,94.000905,80.682255
Grime,444,34.5357,0.296438,8.85368,0.0826839,0.336994,0.316617,0.263257,85.933470,80.737335,67.130535
Deep Shadow,445,31.7587,1.44895,8.87518,0.0697883,0.317988,0.288831,0.238625,81.086940,73.651905,60.849375
Sealskin Shadow,446,93.1313,-2.11103,2.90567,0.832673,0.913459,0.927123,0.90022,232.932045,236.416365,229.55610
Metal Flake,447,87.4157,-2.21586,2.43972,0.708574,0.847997,0.863818,0.840394,216.239235,220.273590,214.300470
Ice Flow,448,78.1404,-3.11217,2.41049,0.534509,0.740019,0.764489,0.73959,188.704845,194.944695,188.59545
Cannon Ball,449,65.1084,-3.99756,3.49665,0.341841,0.5986,0.627901,0.594388,152.6430,160.114755,151.568940
River God,450,45.4266,-2.14869,7.2641,0.148489,0.422504,0.425024,0.373707,107.738520,108.381120,95.295285
Evening Dove,451,34.652,-1.0991,9.16448,0.0832559,0.330055,0.32047,0.262088,84.164025,81.71985,66.832440
Ruggero Grey,452,28.9044,-0.277022,9.53004,0.0580088,0.282578,0.266474,0.209314,72.057390,67.950870,53.375070
Feather Fern,453,87.0577,-4.15089,5.24996,0.701241,0.836076,0.863951,0.8152,213.199380,220.307505,207.8760
Marble Green,454,83.9282,-4.90462,4.7423,0.639278,0.794645,0.831293,0.784706,202.634475,211.979715,200.100030
Favored One,455,80.3135,-5.66754,5.10786,0.572384,0.750437,0.793453,0.742809,191.361435,202.330515,189.416295
Fair Maiden,456,71.5369,-6.91932,5.29113,0.429734,0.647804,0.701713,0.648039,165.190020,178.936815,165.249945
Heavenly Garden,457,65.3854,-8.03179,5.60024,0.345355,0.576087,0.639122,0.581768,146.902185,162.976110,148.350840
Malarca,458,50.8468,-8.23269,6.27641,0.191368,0.43037,0.490764,0.431393,109.74435,125.144820,110.005215
Pleasant Hill,459,36.7172,-7.25727,5.95358,0.0938604,0.30257,0.351875,0.299995,77.15535,89.728125,76.498725
Just a Little,460,88.5003,-2.70224,4.19494,0.731103,0.860639,0.876689,0.839159,219.462945,223.555695,213.985545
Calm Breeze,461,84.4643,-4.40015,3.14349,0.649623,0.800348,0.836282,0.802448,204.088740,213.251910,204.624240
Resting Place,462,79.5704,-5.71659,3.69658,0.559238,0.738455,0.785709,0.74513,188.306025,200.355795,190.00815
Gaelic Garden,463,71.7511,-6.50119,2.45027,0.432897,0.646028,0.703528,0.670688,164.737140,179.399640,171.025440
Kathleen's Garden,464,64.3911,-7.41273,1.61542,0.332851,0.560425,0.628041,0.599583,142.908375,160.150455,152.893665
Earthen Cheer,465,49.107,-8.61158,2.21704,0.176811,0.400543,0.474761,0.441464,102.138465,121.064055,112.573320
Green Column,466,33.2751,-5.59557,2.93724,0.0766493,0.276015,0.317122,0.287783,70.383825,80.866110,73.384665
Sweet Ariel,467,92.0566,-2.72525,2.87832,0.808314,0.896549,0.916573,0.88835,228.619995,233.726115,226.52925
Mellow Blue,468,88.9417,-4.69498,1.28681,0.740406,0.84216,0.886779,0.865378,214.75080,226.128645,220.671390
D?j? Vu,469,82.3065,-7.53434,0.41383,0.608657,0.74452,0.820197,0.798498,189.85260,209.150235,203.616990
