colorCode,colorName,hexCode
747,Bayville Blue,#72afbc
748,Blue Toile,#5699aa
749,Bainbridge Blue,#34687c
750,Seabrook,#b8e0e3
751,Sea Isle,#a6d8dd
752,How Blue Am I?,#85c6cf
753,Santa Clara,#58acb8
754,Wilmington Spruce,#3393a2
755,Salzburg Blue,#2d8493
756,Varsity Blues,#236a78
757,California Breeze,#9fdae3
758,Rhythm and Blues,#8bd1dc
759,Madison Avenue,#6cc1cf
760,Baltimore Sky,#46aebf
761,Meridian Blue,#0594a8
762,Pacific Palisades,#01839a
763,Coat of Arms,#3d6d7b
764,Crystal Springs,#c9e7eb
765,Skyscraper,#b8e0e6
766,Delano Waters,#a1d7e3
767,Graceful Sea,#77c3d8
768,Atlantis Blue,#55b2ca
769,Dream I Can Fly,#20a1c2
770,Americana,#017695
771,Blue Allure,#c1e0e8
772,Hawaiian Breeze,#acd4e3
773,Athenian Blue,#84b9d1
774,I've Got the Blues,#6ba5bf
775,Poolside,#5495b5
776,Santa Monica Blue,#3b6f8d
777,Summer Nights,#35596d
778,Skylark Song,#b5dceb
779,Fairview Blue,#aad5e8
780,Crisp Morning Air,#9ccfe6
781,St. Lucia Skies,#7ebddc
782,Blue Belle Island,#5facd2
783,Lake Tahoe,#4399c5
784,Blue Macaw,#2575a4
785,Morning Glory,#b8deec
786,Highland Breeze,#a5d5ed
787,Grandma's Sweater,#95cde8
788,Aquarius,#7cbee2
789,Sea to Shining Sea,#6eb5dd
790,Bayberry Blue,#409ed2
791,Paddington Blue,#146aa8
792,Mystical Blue,#cde4ec
793,Watercolor Blue,#badae8
794,Paradise View,#afd4e6
795,Faded Denim,#98c4e0
796,Nova Scotia Blue,#6ca4d1
797,Athens Blue,#3e75ad
798,Blue Suede Shoes,#305789
799,Mediterranean Breeze,#b8d5e3
800,Palatial Skies,#a6c9de
801,Blue Bayou,#93bbd5
802,San Francisco Bay,#7aa8c6
803,Lazy Sunday,#5f90b7
804,Chicago Blues,#41739d
805,New York State of Mind,#365574
806,Breath of Fresh Air,#cadee6
807,Soft Sky,#c2d8e5
808,Sapphire Ice,#a2c0d6
809,Soft Jazz,#82a6c1
